"Type","Environment","ResourceGroup","SubscriptionId","Section","Status","Passed","Total","Percent","Message","SubItem"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Tor exit node communication"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Tor exit node communication"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Credential dumping via LSASS"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Credential dumping via LSASS"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Credential dumping via LSASS"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Suspicious login from anonymous IP"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Suspicious login from anonymous IP"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Suspicious login from anonymous IP"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Email auto-forward to external domain"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Email auto-forward to external domain"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Email auto-forward to external domain"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Identity protection risk event"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Identity protection risk event"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Identity protection risk event"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Unusual VM deployment pattern"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Unusual VM deployment pattern"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Unusual VM deployment pattern"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Mass mailbox permission change"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Mass mailbox permission change"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Mass mailbox permission change"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Device compliance policy violation"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Device compliance policy violation"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Device compliance policy violation"
"check","law-prod-eu","","","Analytics","INFORMATIONAL","0","0","0","Rule is disabled. It will remain disabled after onboarding","Logic App connector abuse"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Logic App connector abuse"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Logic App connector abuse"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Logic App connector abuse"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Network port scanning activity"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Network port scanning activity"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Network port scanning activity"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","SQL injection attempt"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","SQL injection attempt"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","SQL injection attempt"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Cryptomining activity detected"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Cryptomining activity detected"
"check","law-prod-eu","","","Analytics","WARNING","0","0","0","Alert grouping enabled. After onboarding, Defender XDR engine fully controls grouping and merging","Cryptomining activity detected"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Suspicious PowerShell execution"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Suspicious PowerShell execution"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Suspicious PowerShell execution"
"check","law-prod-eu","","","Analytics","WARNING","0","0","0","Doesn't generate incidents. Alerts aren't visible in the Defender portal - they appear in SecurityAlerts table in Advanced Hunting","Privilege escalation via service account"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Privilege escalation via service account"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Privilege escalation via service account"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Unusual database query volume"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Unusual database query volume"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Unusual database query volume"
"check","law-prod-eu","","","Analytics","INFORMATIONAL","0","0","0","Rule is disabled. It will remain disabled after onboarding","Zero-day exploit attempt"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Zero-day exploit attempt"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Zero-day exploit attempt"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Zero-day exploit attempt"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Network security group rule change"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Network security group rule change"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Network security group rule change"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","VPN from unusual location"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","VPN from unusual location"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","VPN from unusual location"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Azure AD role assignment change"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Azure AD role assignment change"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Azure AD role assignment change"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Kubernetes privilege escalation"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Kubernetes privilege escalation"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Kubernetes privilege escalation"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Service principal key credential added"
"check","law-prod-eu","","","Analytics","WARNING","0","0","0","Incident reopening enabled. Not supported in Defender portal - new incidents are created instead","Service principal key credential added"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Service principal key credential added"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Sentinel rule tampering detected"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Sentinel rule tampering detected"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Sentinel rule tampering detected"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","API Management suspicious usage"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","API Management suspicious usage"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","API Management suspicious usage"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Compromised account activity"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Compromised account activity"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Compromised account activity"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","MFA bypass attempt"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","MFA bypass attempt"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","MFA bypass attempt"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Azure DevOps pipeline tampering"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Azure DevOps pipeline tampering"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Azure DevOps pipeline tampering"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Teams external sharing anomaly"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Teams external sharing anomaly"
"check","law-prod-eu","","","Analytics","WARNING","0","0","0","Alert grouping enabled. After onboarding, Defender XDR engine fully controls grouping and merging","Teams external sharing anomaly"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","TI indicator match on network traffic"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","TI indicator match on network traffic"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","TI indicator match on network traffic"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Watchlist entity match"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Watchlist entity match"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Watchlist entity match"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Web shell detected on server"
"check","law-prod-eu","","","Analytics","WARNING","0","0","0","Incident reopening enabled. Not supported in Defender portal - new incidents are created instead","Web shell detected on server"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Web shell detected on server"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Token replay attack detected"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Token replay attack detected"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Token replay attack detected"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Unauthorized API access"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Unauthorized API access"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Unauthorized API access"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Azure Firewall rule modification"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Azure Firewall rule modification"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Azure Firewall rule modification"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","SharePoint mass file deletion"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","SharePoint mass file deletion"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","SharePoint mass file deletion"
"check","law-prod-eu","","","Analytics","INFORMATIONAL","0","0","0","Rule is disabled. It will remain disabled after onboarding","Scheduled task creation for persistence"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Scheduled task creation for persistence"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Scheduled task creation for persistence"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Scheduled task creation for persistence"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Container escape attempt"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Container escape attempt"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Container escape attempt"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Suspicious OAuth application"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Suspicious OAuth application"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Suspicious OAuth application"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Anomalous sign-in activity"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Anomalous sign-in activity"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Anomalous sign-in activity"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Phishing email received by executive"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Phishing email received by executive"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Phishing email received by executive"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Registry modification by unusual process"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Registry modification by unusual process"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Registry modification by unusual process"
"check","law-prod-eu","","","Analytics","INFORMATIONAL","0","0","0","Rule is disabled. It will remain disabled after onboarding","DNS tunneling detected"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","DNS tunneling detected"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","DNS tunneling detected"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","DNS tunneling detected"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Ransomware behavior pattern"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Ransomware behavior pattern"
"check","law-prod-eu","","","Analytics","WARNING","0","0","0","Alert grouping enabled. After onboarding, Defender XDR engine fully controls grouping and merging","Ransomware behavior pattern"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Insider threat - bulk data access"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Insider threat - bulk data access"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Insider threat - bulk data access"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Storage account public access enabled"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Storage account public access enabled"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Storage account public access enabled"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Conditional Access policy modification"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Conditional Access policy modification"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Conditional Access policy modification"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Cross-site scripting detected"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Cross-site scripting detected"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Cross-site scripting detected"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Impossible travel activity"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Impossible travel activity"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Impossible travel activity"
"check","law-prod-eu","","","Analytics","INFORMATIONAL","0","0","0","Rule is disabled. It will remain disabled after onboarding","Mass file download by single user"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Mass file download by single user"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Mass file download by single user"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Mass file download by single user"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Brute force attack on Azure AD"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Brute force attack on Azure AD"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Brute force attack on Azure AD"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Lateral movement via RDP"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Lateral movement via RDP"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Lateral movement via RDP"
"check","law-prod-eu","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Cloud app consent phishing"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No incident reopening","Cloud app consent phishing"
"check","law-prod-eu","","","Analytics","OK","0","0","0","No custom alert grouping","Cloud app consent phishing"
"score","law-prod-eu","","","Analytics","","160","166","96.39","",""
"check","law-prod-eu","","","Automation","OK","0","0","0","Configured correctly","Auto-close test environment alerts"
"check","law-prod-eu","","","Automation","OK","0","0","0","Configured correctly","Trigger IR workflow"
"check","law-prod-eu","","","Automation","OK","0","0","0","Configured correctly","Add affected assets tag"
"check","law-prod-eu","","","Automation","OK","0","0","0","Configured correctly","Suppress known false positives"
"check","law-prod-eu","","","Automation","OK","0","0","0","Configured correctly","Notify SOC lead on P1 incidents"
"check","law-prod-eu","","","Automation","OK","0","0","0","Configured correctly","Enrich with threat intelligence"
"check","law-prod-eu","","","Automation","OK","0","0","0","Configured correctly","Add watchlist entity enrichment"
"check","law-prod-eu","","","Automation","OK","0","0","0","Configured correctly","Close duplicate alerts"
"check","law-prod-eu","","","Automation","OK","0","0","0","Configured correctly","Tag incidents from cloud apps"
"check","law-prod-eu","","","Automation","OK","0","0","0","Configured correctly","Escalate unresolved after 4 hours"
"check","law-prod-eu","","","Automation","OK","0","0","0","Configured correctly","Route critical incidents to Tier 3"
"check","law-prod-eu","","","Automation","OK","0","0","0","Configured correctly","Assign to regional SOC"
"check","law-prod-eu","","","Automation","OK","0","0","0","Configured correctly","Auto-tag phishing incidents"
"check","law-prod-eu","","","Automation","OK","0","0","0","Configured correctly","Auto-classify informational alerts"
"check","law-prod-eu","","","Automation","OK","0","0","0","Configured correctly","Run playbook on endpoint alerts"
"check","law-prod-eu","","","Automation","WARNING","0","0","0","Triggered by Fusion incidents. Fusion will be disabled after onboarding","Notify compliance team"
"check","law-prod-eu","","","Automation","WARNING","0","0","0","Change trigger from Incident Provider to Alert Product Name","Post to Teams channel"
"check","law-prod-eu","","","Automation","WARNING","0","0","0","Triggered by Fusion incidents. Fusion will be disabled after onboarding","Auto-assign severity to identity alerts"
"score","law-prod-eu","","","Automation","","15","18","83.33","",""
"score","law-prod-eu","","","Final","","193","205","94.15","",""
"env","law-prod-us","rg-sentinel-prod-us","b2c3d4e5-f6a7-8901-bcde-f12345678901","","","0","0","0","",""
"check","law-prod-us","","","Defender Data","WARNING","0","0","0","The table DeviceInfo has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","law-prod-us","","","Defender Data","OK","0","0","0","The table DeviceNetworkInfo has a retention of 730 days - need to be stored in Sentinel for more retention",""
"check","law-prod-us","","","Defender Data","OK","0","0","0","The table DeviceProcessEvents has a retention of 90 days - need to be stored in Sentinel for more retention",""
"check","law-prod-us","","","Defender Data","OK","0","0","0","The table DeviceNetworkEvents has a retention of 90 days - need to be stored in Sentinel for more retention",""
"check","law-prod-us","","","Defender Data","OK","0","0","0","The table DeviceFileEvents has a retention of 730 days - need to be stored in Sentinel for more retention",""
"check","law-prod-us","","","Defender Data","OK","0","0","0","The table DeviceRegistryEvents has a retention of 180 days - need to be stored in Sentinel for more retention",""
"check","law-prod-us","","","Defender Data","OK","0","0","0","The table DeviceLogonEvents has a retention of 90 days - need to be stored in Sentinel for more retention",""
"check","law-prod-us","","","Defender Data","OK","0","0","0","The table DeviceImageLoadEvents has a retention of 730 days - need to be stored in Sentinel for more retention",""
"check","law-prod-us","","","Defender Data","WARNING","0","0","0","The table DeviceEvents has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","law-prod-us","","","Defender Data","WARNING","0","0","0","The table DeviceFileCertificateInfo has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","law-prod-us","","","Defender Data","OK","0","0","0","The table EmailEvents has a retention of 730 days - need to be stored in Sentinel for more retention",""
"check","law-prod-us","","","Defender Data","OK","0","0","0","The table EmailUrlInfo has a retention of 90 days - need to be stored in Sentinel for more retention",""
"check","law-prod-us","","","Defender Data","OK","0","0","0","The table EmailAttachmentInfo has a retention of 365 days - need to be stored in Sentinel for more retention",""
"check","law-prod-us","","","Defender Data","WARNING","0","0","0","The table EmailPostDeliveryEvents has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","law-prod-us","","","Defender Data","OK","0","0","0","The table UrlClickEvents has a retention of 365 days - need to be stored in Sentinel for more retention",""
"check","law-prod-us","","","Defender Data","OK","0","0","0","The table CloudAppEvents has a retention of 90 days - need to be stored in Sentinel for more retention",""
"check","law-prod-us","","","Defender Data","OK","0","0","0","The table IdentityLogonEvents has a retention of 180 days - need to be stored in Sentinel for more retention",""
"check","law-prod-us","","","Defender Data","OK","0","0","0","The table IdentityQueryEvents has a retention of 730 days - need to be stored in Sentinel for more retention",""
"check","law-prod-us","","","Defender Data","OK","0","0","0","The table IdentityDirectoryEvents has a retention of 730 days - need to be stored in Sentinel for more retention",""
"check","law-prod-us","","","Defender Data","OK","0","0","0","The table AlertInfo has a retention of 730 days - need to be stored in Sentinel for more retention",""
"check","law-prod-us","","","Defender Data","OK","0","0","0","The table AlertEvidence has a retention of 90 days - need to be stored in Sentinel for more retention",""
"score","law-prod-us","","","Defender Data","","17","21","80.95","",""
"check","law-prod-us","","","Analytics","WARNING","0","0","0","Fusion rules will be automatically disabled after Microsoft Sentinel is onboarded in Defender",""
"check","law-prod-us","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Conditional Access policy modification"
"check","law-prod-us","","","Analytics","OK","0","0","0","No incident reopening","Conditional Access policy modification"
"check","law-prod-us","","","Analytics","OK","0","0","0","No custom alert grouping","Conditional Access policy modification"
"check","law-prod-us","","","Analytics","OK","0","0","0","Alert visibility configured correctly","SQL injection attempt"
"check","law-prod-us","","","Analytics","OK","0","0","0","No incident reopening","SQL injection attempt"
"check","law-prod-us","","","Analytics","WARNING","0","0","0","Alert grouping enabled. After onboarding, Defender XDR engine fully controls grouping and merging","SQL injection attempt"
"check","law-prod-us","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Identity protection risk event"
"check","law-prod-us","","","Analytics","OK","0","0","0","No incident reopening","Identity protection risk event"
"check","law-prod-us","","","Analytics","OK","0","0","0","No custom alert grouping","Identity protection risk event"
"check","law-prod-us","","","Analytics","WARNING","0","0","0","Doesn't generate incidents. Alerts aren't visible in the Defender portal - they appear in SecurityAlerts table in Advanced Hunting","MFA bypass attempt"
"check","law-prod-us","","","Analytics","OK","0","0","0","No incident reopening","MFA bypass attempt"
"check","law-prod-us","","","Analytics","OK","0","0","0","No custom alert grouping","MFA bypass attempt"
"check","law-prod-us","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Cryptomining activity detected"
"check","law-prod-us","","","Analytics","OK","0","0","0","No incident reopening","Cryptomining activity detected"
"check","law-prod-us","","","Analytics","OK","0","0","0","No custom alert grouping","Cryptomining activity detected"
"check","law-prod-us","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Cloud app consent phishing"
"check","law-prod-us","","","Analytics","OK","0","0","0","No incident reopening","Cloud app consent phishing"
"check","law-prod-us","","","Analytics","OK","0","0","0","No custom alert grouping","Cloud app consent phishing"
"check","law-prod-us","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Azure AD role assignment change"
"check","law-prod-us","","","Analytics","OK","0","0","0","No incident reopening","Azure AD role assignment change"
"check","law-prod-us","","","Analytics","OK","0","0","0","No custom alert grouping","Azure AD role assignment change"
"check","law-prod-us","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Suspicious Azure resource deployment"
"check","law-prod-us","","","Analytics","OK","0","0","0","No incident reopening","Suspicious Azure resource deployment"
"check","law-prod-us","","","Analytics","OK","0","0","0","No custom alert grouping","Suspicious Azure resource deployment"
"check","law-prod-us","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Impossible travel activity"
